Sport,Venue,Zone,Session Code,Date,Games Day,Session Type,Session Description,Start Time,End Time,Date_parsed,is_medal_event,Indoor_Outdoor,Neighborhood,my_interest,price_tier_est,parking_notes,conflict
Baseball,Dodger Stadium,DTLA,BSB01,"Thursday, July 13, 2028",-1.0,Preliminary,Men's Opening Round,11:00,14:00,2028-07-13,False,outdoor,Elysian Park,,,,
Baseball,Dodger Stadium,DTLA,BSB02,"Thursday, July 13, 2028",-1.0,Preliminary,Men's Opening Round,19:00,22:00,2028-07-13,False,outdoor,Elysian Park,,,,
Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,ATH02,"Saturday, July 15, 2028",1.0,Final,"Men's 400m Hurdles Round 1 | Men's High Jump Qualification A and B | Men's Discus Throw Qualification A and B | Women's Triple Jump Qualification A and B | Women's 100m Semifinal | Women's 400m Hurdles Round 1 | Women's Shot Put Final | Men's 10,000m Final | Women's 100m Final",17:00,20:15,2028-07-15,True,outdoor,Exposition Park,,,,
Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,ATH01,"Saturday, July 15, 2028",1.0,Preliminary,Women's 100m Preliminary | Men's 100m Preliminary | Women's Shot Put Qualification A and B | Women's 5000m Round 1 | Men's Pole Vault Qualification A and B | Women's 800m Round 1 | Women's Hammer Throw Qualification A and B | Women's 100m Round 1 | Men's 100m Round 1,9:00,13:30,2028-07-15,False,outdoor,Exposition Park,,,,
Baseball,Dodger Stadium,DTLA,BSB03,"Saturday, July 15, 2028",1.0,Preliminary,Men's Opening Round,11:00,14:00,2028-07-15,False,outdoor,Elysian Park,,,,
Baseball,Dodger Stadium,DTLA,BSB04,"Saturday, July 15, 2028",1.0,Preliminary,Men's Opening Round,19:00,22:00,2028-07-15,False,outdoor,Elysian Park,,,,
Beach Volleyball,Alamitos Beach Stadium,Long Beach,VBV02,"Saturday, July 15, 2028",1.0,Preliminary,Men's and/or Women's Preliminaries (4 Matches),14:00,18:00,2028-07-15,False,outdoor,Long Beach,,,,
Beach Volleyball,Alamitos Beach Stadium,Long Beach,VBV03,"Saturday, July 15, 2028",1.0,Preliminary,Men's and/or Women's Preliminaries (3 Matches),20:00,23:00,2028-07-15,False,outdoor,Long Beach,,,,
Beach Volleyball,Alamitos Beach Stadium,Long Beach,VBV01,"Saturday, July 15, 2028",1.0,Preliminary,Men's and/or Women's Preliminaries (3 Matches),9:00,12:00,2028-07-15,False,outdoor,Long Beach,,,,
Fencing,LA Convention Center Hall 1,DTLA,FEN02,"Saturday, July 15, 2028",1.0,Final,Women's Épée Individual Semifinal | Men's Sabre Individual Semifinal | Women's Épée Individual Bronze Medal Bout | Men's Sabre Individual Bronze Medal Bout | Women's Épée Individual Gold Medal Bout | Men's Sabre Individual Gold Medal Bout,18:30,22:20,2028-07-15,True,indoor,Downtown LA,,,,
Fencing,LA Convention Center Hall 1,DTLA,FEN01,"Saturday, July 15, 2028",1.0,Quarterfinal,Women's Épée Individual Table of 64 | Men's Sabre Individual Table of 64 | Women's Épée Individual Table of 32 | Men's Sabre Individual Table of 32 | Women's Épée Individual Table of 16 | Men's Sabre Individual Table of 16 | Women's Épée Individual Table of 8 | Men's Sabre Individual Table of 8,9:00,15:40,2028-07-15,False,indoor,Downtown LA,,,,
Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,ATH04,"Sunday, July 16, 2028",2.0,Final,Men's Decathlon High Jump A and B | Men's Shot Put Final | Men's 1500m Round 1 | Men's 100m Semifinal | Women's Hammer Throw Final | Mixed 4x400m Relay Final | Men's Decathlon 400m Heats | Men's 100m Final,15:15,18:55,2028-07-16,True,outdoor,Exposition Park,,,,
Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,ATH03,"Sunday, July 16, 2028",2.0,Preliminary,Men's Decathlon 100m Heats | Women's Discus Throw Qualification A and B | Men's Shot Put Qualification A and B | Men's Decathlon Long Jump A and B | Women's 800m Repechage | Mixed 4x400m Relay Round 1 | Men's Long Jump Qualification A and B | Men's Decathlon Shot Put A and B,9:00,12:00,2028-07-16,False,outdoor,Exposition Park,,,,
Baseball,Dodger Stadium,DTLA,BSB05,"Sunday, July 16, 2028",2.0,Preliminary,Men's Opening Round,11:00,14:00,2028-07-16,False,outdoor,Elysian Park,,,,
Baseball,Dodger Stadium,DTLA,BSB06,"Sunday, July 16, 2028",2.0,Preliminary,Men's Opening Round,19:00,22:00,2028-07-16,False,outdoor,Elysian Park,,,,
Beach Volleyball,Alamitos Beach Stadium,Long Beach,VBV05,"Sunday, July 16, 2028",2.0,Preliminary,Men's and/or Women's Preliminaries (4 Matches),14:00,18:00,2028-07-16,False,outdoor,Long Beach,,,,
Beach Volleyball,Alamitos Beach Stadium,Long Beach,VBV06,"Sunday, July 16, 2028",2.0,Preliminary,Men's and/or Women's Preliminaries (3 Matches),20:00,23:00,2028-07-16,False,outdoor,Long Beach,,,,
Beach Volleyball,Alamitos Beach Stadium,Long Beach,VBV04,"Sunday, July 16, 2028",2.0,Preliminary,Men's and/or Women's Preliminaries (3 Matches),9:00,12:00,2028-07-16,False,outdoor,Long Beach,,,,
Fencing,LA Convention Center Hall 1,DTLA,FEN04,"Sunday, July 16, 2028",2.0,Final,Men's Épée Individual Semifinal | Women's Foil Individual Semifinal | Men's Épée Individual Bronze Medal Bout | Women's Foil Individual Bronze Medal Bout | Men's Épée Individual Gold Medal Bout | Women's Foil Individual Gold Medal Bout,18:30,22:40,2028-07-16,True,indoor,Downtown LA,,,,
Fencing,LA Convention Center Hall 1,DTLA,FEN03,"Sunday, July 16, 2028",2.0,Quarterfinal,Men's Épée Individual Table of 64 | Women's Foil Individual Table of 64 | Men's Épée Individual Table of 32 | Women's Foil Individual Table of 32 | Men's Épée Individual Table of 16 | Women's Foil Individual Table of 16 | Men's Épée Individual Table of 8 | Women's Foil Individual Table of 8,9:00,16:20,2028-07-16,False,indoor,Downtown LA,,,,
Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,ATH06,"Monday, July 17, 2028",3.0,Final,Men's Pole Vault Final | Men's Decathlon Javelin Throw A and B | Mixed 4x100m Relay Round 1 | Men's 1500m Repechage | Women's 800m Semifinal | Mixed 4x100m Relay Final | Men's Decathlon 1500m Final,16:30,19:30,2028-07-17,True,outdoor,Exposition Park,,,,
Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,ATH05,"Monday, July 17, 2028",3.0,Final,Men's Decathlon 110m Hurdles Heats | Women's 3000m Steeplechase Round 1 | Men's Decathlon Discus Throw A and B | Men's 400m Round 1 | Women's Triple Jump Final | Men's 400m Hurdles Repechage | Men's Decathlon Pole Vault A and B | Women's 400m Hurdles Repechage,9:00,14:00,2028-07-17,False,outdoor,Exposition Park,,,,
Baseball,Dodger Stadium,DTLA,BSB07,"Monday, July 17, 2028",3.0,Preliminary,Men's Quarterfinal,11:00,14:00,2028-07-17,True,outdoor,Elysian Park,,,,
Baseball,Dodger Stadium,DTLA,BSB08,"Monday, July 17, 2028",3.0,Preliminary,Men's Quarterfinal,19:00,22:00,2028-07-17,True,outdoor,Elysian Park,,,,
Beach Volleyball,Alamitos Beach Stadium,Long Beach,VBV08,"Monday, July 17, 2028",3.0,Preliminary,Men's and/or Women's Preliminaries (4 Matches),14:00,18:00,2028-07-17,False,outdoor,Long Beach,,,,
Beach Volleyball,Alamitos Beach Stadium,Long Beach,VBV09,"Monday, July 17, 2028",3.0,Preliminary,Men's and/or Women's Preliminaries (3 Matches),20:00,23:00,2028-07-17,False,outdoor,Long Beach,,,,
Beach Volleyball,Alamitos Beach Stadium,Long Beach,VBV07,"Monday, July 17, 2028",3.0,Preliminary,Men's and/or Women's Preliminaries (3 Matches),9:00,12:00,2028-07-17,False,outdoor,Long Beach,,,,
Fencing,LA Convention Center Hall 1,DTLA,FEN06,"Monday, July 17, 2028",3.0,Final,Women's Sabre Individual Semifinal | Men's Foil Individual Semifinal | Women's Sabre Individual Bronze Medal Bout | Men's Foil Individual Bronze Medal Bout | Women's Sabre Individual Gold Medal Bout | Men's Foil Individual Gold Medal Bout,18:30,22:40,2028-07-17,True,indoor,Downtown LA,,,,
Fencing,LA Convention Center Hall 1,DTLA,FEN05,"Monday, July 17, 2028",3.0,Quarterfinal,Women's Sabre Individual Table of 64 | Men's Foil Individual Table of 64 | Women's Sabre Individual Table of 32 | Men's Foil Individual Table of 32 | Women's Sabre Individual Table of 16 | Men's Foil Individual Table of 16 | Women's Sabre Individual Table of 8 | Men's Foil Individual Table of 8,9:00,16:20,2028-07-17,False,indoor,Downtown LA,,,,
Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,ATH08,"Tuesday, July 18, 2028",4.0,Final,Men's 200m Round 1 | Men's High Jump Final | Men's Discus Throw Final | Women's 5000m Final | Men's 400m Hurdles Semifinal | Men's 1500m Semifinal | Women's 400m Hurdles Semifinal | Women's 800m Final,15:50,18:50,2028-07-18,True,outdoor,Exposition Park,,,,
Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,ATH07,"Tuesday, July 18, 2028",4.0,Final,Women's Pole Vault Qualification A and B | Men's 3000m Steeplechase Round 1 | Women's 400m Round 1 | Men's Triple Jump Qualification A and B | Men's 110m Hurdles Round 1,9:30,12:10,2028-07-18,False,outdoor,Exposition Park,,,,
Baseball,Dodger Stadium,DTLA,BSB09,"Tuesday, July 18, 2028",4.0,Semifinal,Men's Semifinal,11:00,14:00,2028-07-18,True,outdoor,Elysian Park,,,,
Baseball,Dodger Stadium,DTLA,BSB10,"Tuesday, July 18, 2028",4.0,Semifinal,Men's Semifinal,19:00,22:00,2028-07-18,True,outdoor,Elysian Park,,,,
Beach Volleyball,Alamitos Beach Stadium,Long Beach,VBV11,"Tuesday, July 18, 2028",4.0,Preliminary,Men's and/or Women's Preliminaries (4 Matches),14:00,18:00,2028-07-18,False,outdoor,Long Beach,,,,
Beach Volleyball,Alamitos Beach Stadium,Long Beach,VBV12,"Tuesday, July 18, 2028",4.0,Preliminary,Men's and/or Women's Preliminaries (3 Matches),20:00,23:00,2028-07-18,False,outdoor,Long Beach,,,,
Beach Volleyball,Alamitos Beach Stadium,Long Beach,VBV10,"Tuesday, July 18, 2028",4.0,Preliminary,Men's and/or Women's Preliminaries (3 Matches),9:00,12:00,2028-07-18,False,outdoor,Long Beach,,,,
Fencing,LA Convention Center Hall 1,DTLA,FEN08,"Tuesday, July 18, 2028",4.0,Final,Women's Épée Team Bronze Medal Match | Women's Épée Team Gold Medal Match,17:30,19:40,2028-07-18,True,indoor,Downtown LA,,,,
Fencing,LA Convention Center Hall 1,DTLA,FEN07,"Tuesday, July 18, 2028",4.0,Semifinal,Women's Épée Team Table of 8 | Women's Épée Team Classification 5-8 | Women's Épée Team Semifinal | Women's Épée Team Placement 7-8 | Women's Épée Team Placement 5-6,9:00,14:30,2028-07-18,False,indoor,Downtown LA,,,,
Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,ATH10,"Wednesday, July 19, 2028",5.0,Final,Men's 110m Hurdles Repechage | Women's Discus Throw Final | Women's 1500m Round 1 | Men's Long Jump Final | Women's 200m Round 1 | Men's 1500m Final | Men's 400m Hurdles Final,16:00,18:40,2028-07-19,True,outdoor,Exposition Park,,,,
Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,ATH09,"Wednesday, July 19, 2028",5.0,Final,Men's Hammer Throw Qualification A and B | Women's 400m Repechage | Men's 400m Repechage | Women's Long Jump Qualification A and B | Men's 200m Repechage | Women's 3000m Steeplechase Final,9:35,12:00,2028-07-19,True,outdoor,Exposition Park,,,,
Baseball,Dodger Stadium,DTLA,BSB11,"Wednesday, July 19, 2028",5.0,Bronze,Men's Bronze Medal Game,11:00,14:00,2028-07-19,True,outdoor,Elysian Park,,,,
Baseball,Dodger Stadium,DTLA,BSB12,"Wednesday, July 19, 2028",5.0,Final,Men's Gold Medal Game,19:00,22:30,2028-07-19,True,outdoor,Elysian Park,,,,
Beach Volleyball,Alamitos Beach Stadium,Long Beach,VBV14,"Wednesday, July 19, 2028",5.0,Preliminary,Men's and/or Women's Preliminaries (4 Matches),14:00,18:00,2028-07-19,False,outdoor,Long Beach,,,,
Beach Volleyball,Alamitos Beach Stadium,Long Beach,VBV15,"Wednesday, July 19, 2028",5.0,Preliminary,Men's and/or Women's Preliminaries (3 Matches),20:00,23:00,2028-07-19,False,outdoor,Long Beach,,,,
Beach Volleyball,Alamitos Beach Stadium,Long Beach,VBV13,"Wednesday, July 19, 2028",5.0,Preliminary,Men's and/or Women's Preliminaries (3 Matches),9:00,12:00,2028-07-19,False,outdoor,Long Beach,,,,
Fencing,LA Convention Center Hall 1,DTLA,FEN10,"Wednesday, July 19, 2028",5.0,Final,Men's Sabre Team Bronze Medal Match | Men's Sabre Team Gold Medal Match,17:30,19:40,2028-07-19,True,indoor,Downtown LA,,,,
Fencing,LA Convention Center Hall 1,DTLA,FEN09,"Wednesday, July 19, 2028",5.0,Semifinal,Men's Sabre Team Table of 8 | Men's Sabre Team Classification 5-8 | Men's Sabre Team Semifinal | Men's Sabre Team Placement 7-8 | Men's Sabre Team Placement 5-6,9:00,14:30,2028-07-19,False,indoor,Downtown LA,,,,
Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,ATH12,"Thursday, July 20, 2028",6.0,Final,Women's Pole Vault Final | Women's 1500m Repechage | Men's Hammer Throw Final | Women's 400m Semifinal | Men's 400m Semifinal | Men's 110m Hurdles Semifinal | Men's 200m Semifinal | Women's 400m Hurdles Final,15:30,18:30,2028-07-20,True,outdoor,Exposition Park,,,,
Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,ATH11,"Thursday, July 20, 2028",6.0,Final,Women's Javelin Throw Qualification A and B | Women's High Jump Qualification A and B | Men's 800m Round 1 | Women's 200m Repechage | Men's 3000m Steeplechase Final,9:30,12:00,2028-07-20,True,outdoor,Exposition Park,,,,
Beach Volleyball,Alamitos Beach Stadium,Long Beach,VBV17,"Thursday, July 20, 2028",6.0,Preliminary,Men's and/or Women's Preliminaries (4 Matches),14:00,18:00,2028-07-20,False,outdoor,Long Beach,,,,
Beach Volleyball,Alamitos Beach Stadium,Long Beach,VBV18,"Thursday, July 20, 2028",6.0,Preliminary,Men's and/or Women's Preliminaries (3 Matches),20:00,23:00,2028-07-20,False,outdoor,Long Beach,,,,
Beach Volleyball,Alamitos Beach Stadium,Long Beach,VBV16,"Thursday, July 20, 2028",6.0,Preliminary,Men's and/or Women's Preliminaries (3 Matches),9:00,12:00,2028-07-20,False,outdoor,Long Beach,,,,
Fencing,LA Convention Center Hall 1,DTLA,FEN12,"Thursday, July 20, 2028",6.0,Final,Men's Épée Team Bronze Medal Match | Men's Épée Team Gold Medal Match,18:30,21:40,2028-07-20,True,indoor,Downtown LA,,,,
Fencing,LA Convention Center Hall 1,DTLA,FEN11,"Thursday, July 20, 2028",6.0,Semifinal,Men's Épée Team Table of 8 | Men's Épée Team Classification 5-8 | Men's Épée Team Semifinal | Men's Épée Team Placement 7-8 | Men's Épée Team Placement 5-6,9:00,16:10,2028-07-20,False,indoor,Downtown LA,,,,
Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,ATH14,"Friday, July 21, 2028",7.0,Final,"Women's Heptathlon Shot Put A and B | Men's Javelin Throw Qualification A and B | Women's 1500m Semifinal | Women's 200m Semifinal | Women's Heptathlon 200m Heats | Women's 10,000m Final | Men's 110m Hurdles Final | Men's 200m Final",16:15,19:20,2028-07-21,True,outdoor,Exposition Park,,,,
Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,ATH13,"Friday, July 21, 2028",7.0,Final,Women's Heptathlon 100m Hurdles Heats | Men's 5000m Round 1 | Women's Heptathlon High Jump A and B | Women's 100m Hurdles Round 1 | Men's Triple Jump Final | Men's 800m Repechage,9:35,12:25,2028-07-21,False,outdoor,Exposition Park,,,,
Beach Volleyball,Alamitos Beach Stadium,Long Beach,VBV20,"Friday, July 21, 2028",7.0,Preliminary,Men's and/or Women's Preliminaries (4 Matches),14:00,18:00,2028-07-21,False,outdoor,Long Beach,,,,
Beach Volleyball,Alamitos Beach Stadium,Long Beach,VBV21,"Friday, July 21, 2028",7.0,Preliminary,Men's and/or Women's Preliminaries (3 Matches),20:00,23:00,2028-07-21,False,outdoor,Long Beach,,,,
Beach Volleyball,Alamitos Beach Stadium,Long Beach,VBV19,"Friday, July 21, 2028",7.0,Preliminary,Men's and/or Women's Preliminaries (3 Matches),9:00,12:00,2028-07-21,False,outdoor,Long Beach,,,,
Fencing,LA Convention Center Hall 1,DTLA,FEN14,"Friday, July 21, 2028",7.0,Final,Women's Foil Team Bronze Medal Match | Women's Foil Team Gold Medal Match,18:30,21:20,2028-07-21,True,indoor,Downtown LA,,,,
Fencing,LA Convention Center Hall 1,DTLA,FEN13,"Friday, July 21, 2028",7.0,Semifinal,Women's Foil Team Table of 8 | Women's Foil Team Classification 5-8 | Women's Foil Team Semifinal | Women's Foil Team Placement 7-8 | Women's Foil Team Placement 5-6,9:00,14:30,2028-07-21,False,indoor,Downtown LA,,,,
Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,ATH15,"Saturday, July 22, 2028",8.0,Final,Women's Heptathlon Long Jump A and B | Women's 100m Hurdles Repechage | Women's Heptathlon Javelin Throw A and B | Men's 800m Semifinal | Women's Long Jump Final | Men's 4x100m Relay Round 1 | Women's 400m Final | Men's 400m Final | Women's Heptathlon 800m Final | Women's 200m Final,14:05,18:15,2028-07-22,True,outdoor,Exposition Park,,,,
Beach Volleyball,Alamitos Beach Stadium,Long Beach,VBV23,"Saturday, July 22, 2028",8.0,Preliminary,Men's and/or Women's Preliminaries (4 Matches),19:00,23:00,2028-07-22,False,outdoor,Long Beach,,,,
Beach Volleyball,Alamitos Beach Stadium,Long Beach,VBV22,"Saturday, July 22, 2028",8.0,Preliminary,Men's and/or Women's Preliminaries (3 Matches),9:00,11:00,2028-07-22,False,outdoor,Long Beach,,,,
Fencing,LA Convention Center Hall 1,DTLA,FEN16,"Saturday, July 22, 2028",8.0,Final,Men's Foil Team Bronze Medal Match | Men's Foil Team Gold Medal Match,18:30,21:20,2028-07-22,True,indoor,Downtown LA,,,,
Fencing,LA Convention Center Hall 1,DTLA,FEN15,"Saturday, July 22, 2028",8.0,Semifinal,Men's Foil Team Table of 8 | Men's Foil Team Classification 5-8 | Men's Foil Team Semifinal | Men's Foil Team Placement 7-8 | Men's Foil Team Placement 5-6,9:00,14:30,2028-07-22,False,indoor,Downtown LA,,,,
Swimming,2028 Stadium,Inglewood,SWM02,"Saturday, July 22, 2028",8.0,Final,Men's 400m Freestyle Final | Women's 100m Butterfly Semifinal | Men's 50m Butterfly Semifinal | Women's 400m Freestyle Final | Men's 100m Breaststroke Semifinal | Women's 50m Backstroke Semifinal | Men's 4x100m Freestyle Relay Final | Women's 4x100m Freestyle Relay Final,18:00,20:00,2028-07-22,True,outdoor,Inglewood,,,,
Swimming,2028 Stadium,Inglewood,SWM01,"Saturday, July 22, 2028",8.0,Preliminary,Women's 100m Butterfly Heats | Men's 400m Freestyle Heats | Men's 50m Butterfly Heats | Women's 50m Backstroke Heats | Men's 100m Breaststroke Heats | Women's 400m Freestyle Heats | Women's 4x100m Freestyle Relay Heats | Men's 4x100m Freestyle Relay Heats,9:30,11:30,2028-07-22,False,outdoor,Inglewood,,,,
Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,ATH16,"Sunday, July 23, 2028",9.0,Final,Women's 4x400m Relay Round 1 | Women's High Jump Final | Men's 4x400m Relay Round 1 | Women's Javelin Throw Final | Women's 4x100m Relay Round 1 | Women's 100m Hurdles Semifinal | Men's 800m Final | Women's 1500m Final | Men's 4x100m Relay Final,15:40,18:15,2028-07-23,True,outdoor,Exposition Park,,,,
Beach Volleyball,Alamitos Beach Stadium,Long Beach,VBV25,"Sunday, July 23, 2028",9.0,Preliminary,Men's or Women's Round of 16 (2 Matches),13:00,15:00,2028-07-23,False,outdoor,Long Beach,,,,
Beach Volleyball,Alamitos Beach Stadium,Long Beach,VBV26,"Sunday, July 23, 2028",9.0,Preliminary,Men's or Women's Round of 16 (2 Matches),17:00,19:00,2028-07-23,False,outdoor,Long Beach,,,,
Beach Volleyball,Alamitos Beach Stadium,Long Beach,VBV27,"Sunday, July 23, 2028",9.0,Preliminary,Men's or Women's Round of 16 (2 Matches),21:00,23:00,2028-07-23,False,outdoor,Long Beach,,,,
Beach Volleyball,Alamitos Beach Stadium,Long Beach,VBV24,"Sunday, July 23, 2028",9.0,Preliminary,Men's or Women's Round of 16 (2 Matches),9:00,11:00,2028-07-23,False,outdoor,Long Beach,,,,
Fencing,LA Convention Center Hall 1,DTLA,FEN18,"Sunday, July 23, 2028",9.0,Final,Women's Sabre Team Bronze Medal Match | Women's Sabre Team Gold Medal Match,18:30,21:40,2028-07-23,True,indoor,Downtown LA,,,,
Fencing,LA Convention Center Hall 1,DTLA,FEN17,"Sunday, July 23, 2028",9.0,Semifinal,Women's Sabre Team Table of 8 | Women's Sabre Team Classification 5-8 | Women's Sabre Team Semifinal | Women's Sabre Team Placement 7-8 | Women's Sabre Team Placement 5-6,9:00,16:10,2028-07-23,False,indoor,Downtown LA,,,,
Swimming,2028 Stadium,Inglewood,SWM04,"Sunday, July 23, 2028",9.0,Final,Women's 100m Butterfly Final | Men's 50m Butterfly Final | Women's 100m Breaststroke Semifinal | Men's 400m Individual Medley Final | Men's 100m Backstroke Semifinal | Women's 100m Freestyle Semifinal | Men's 100m Breaststroke Final | Women's 50m Backstroke Final,18:00,20:00,2028-07-23,True,outdoor,Inglewood,,,,
Swimming,2028 Stadium,Inglewood,SWM03,"Sunday, July 23, 2028",9.0,Preliminary,Women's 100m Breaststroke Heats | Men's 100m Backstroke Heats | Women's 100m Freestyle Heats | Men's 400m Individual Medley Heats,9:30,11:30,2028-07-23,False,outdoor,Inglewood,,,,
Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,ATH17,"Monday, July 24, 2028",10.0,Final,Men's Javelin Throw Final | Women's 4x100m Relay Final | Men's 5000m Final | Women's 100m Hurdles Final | Men's 4x400m Relay Final | Women's 4x400 Relay Final,16:25,18:15,2028-07-24,True,outdoor,Exposition Park,,,,
Beach Volleyball,Alamitos Beach Stadium,Long Beach,VBV29,"Monday, July 24, 2028",10.0,Preliminary,Men's or Women's Round of 16 (2 Matches),13:00,15:00,2028-07-24,False,outdoor,Long Beach,,,,
Beach Volleyball,Alamitos Beach Stadium,Long Beach,VBV30,"Monday, July 24, 2028",10.0,Preliminary,Men's or Women's Round of 16 (2 Matches),17:00,19:00,2028-07-24,False,outdoor,Long Beach,,,,
Beach Volleyball,Alamitos Beach Stadium,Long Beach,VBV31,"Monday, July 24, 2028",10.0,Preliminary,Men's or Women's Round of 16 (2 Matches),21:00,23:00,2028-07-24,False,outdoor,Long Beach,,,,
Beach Volleyball,Alamitos Beach Stadium,Long Beach,VBV28,"Monday, July 24, 2028",10.0,Preliminary,Men's or Women's Round of 16 (2 Matches),9:00,11:00,2028-07-24,False,outdoor,Long Beach,,,,
Swimming,2028 Stadium,Inglewood,SWM06,"Monday, July 24, 2028",10.0,Final,Women's 100m Freestyle Final | Men's 200m Freestyle Semifinal | Women's 100m Backstroke Semifinal | Men's 100m Backstroke Final | Women's 100m Breaststroke Final | Men's 50m Breaststroke Semifinal | Men's 200m Butterfly Semifinal | Women's 400m Individual Medley Final,18:00,20:00,2028-07-24,True,outdoor,Inglewood,,,,
Swimming,2028 Stadium,Inglewood,SWM05,"Monday, July 24, 2028",10.0,Preliminary,Women's 400m Individual Medley Heats | Men's 200m Freestyle Heats | Women's 100m Backstroke Heats | Men's 50m Breaststroke Heats | Men's 200m Butterfly Heats | Men's 1500m Freestyle Heats,9:30,11:30,2028-07-24,False,outdoor,Inglewood,,,,
Beach Volleyball,Alamitos Beach Stadium,Long Beach,VBV32,"Tuesday, July 25, 2028",11.0,Quarterfinal,Men's Quarterfinal | Women's Quarterfinal,13:00,15:00,2028-07-25,True,outdoor,Long Beach,,,,
Beach Volleyball,Alamitos Beach Stadium,Long Beach,VBV33,"Tuesday, July 25, 2028",11.0,Quarterfinal,Men's Quarterfinal | Women's Quarterfinal,20:00,22:00,2028-07-25,True,outdoor,Long Beach,,,,
Swimming,2028 Stadium,Inglewood,SWM08,"Tuesday, July 25, 2028",11.0,Final,Women's 200m Breaststroke Semifinal | Men's 200m Freestyle Final | Men's 50m Breaststroke Final | Men's 1500m Freestyle Final | Women's 200m Freestyle Semifinal | Men's 200m Butterfly Final | Men's 50m Freestyle Semifinal | Women's 100m Backstroke Final,18:00,20:00,2028-07-25,True,outdoor,Inglewood,,,,
Swimming,2028 Stadium,Inglewood,SWM07,"Tuesday, July 25, 2028",11.0,Preliminary,Women's 200m Freestyle Heats | Men's 50m Freestyle Heats | Women's 200m Breaststroke Heats | Women's 1500m Freestyle Heats,9:30,11:30,2028-07-25,False,outdoor,Inglewood,,,,
Beach Volleyball,Alamitos Beach Stadium,Long Beach,VBV34,"Wednesday, July 26, 2028",12.0,Quarterfinal,Men's Quarterfinal | Women's Quarterfinal,13:00,15:00,2028-07-26,True,outdoor,Long Beach,,,,
Beach Volleyball,Alamitos Beach Stadium,Long Beach,VBV35,"Wednesday, July 26, 2028",12.0,Quarterfinal,Men's Quarterfinal | Women's Quarterfinal,20:00,22:00,2028-07-26,True,outdoor,Long Beach,,,,
