Sport,Venue,Zone,Session Code,Date,Games Day,Session Type,Session Description,Start Time,End Time,Date_parsed,is_medal_event,Indoor_Outdoor,Neighborhood,my_interest,price_tier_est,parking_notes,conflict
Football (Soccer),San Diego Stadium,San Diego,FBL11,"Tuesday, July 11, 2028",-3.0,Preliminary,Women's Group Stage,TBD,TBD,2028-07-11,False,outdoor,San Diego,,,,
Football (Soccer),San Diego Stadium,San Diego,FBL12,"Tuesday, July 11, 2028",-3.0,Preliminary,Women's Group Stage,TBD,TBD,2028-07-11,False,outdoor,San Diego,,,,
Basketball,Intuit Dome,Inglewood,BKB01,"Wednesday, July 12, 2028",-2.0,Preliminary,Women's Group Phase (2 Games),12:00,16:15,2028-07-12,False,indoor,Inglewood,,,,
Basketball,Intuit Dome,Inglewood,BKB02,"Wednesday, July 12, 2028",-2.0,Preliminary,Women's Group Phase,18:00,19:45,2028-07-12,False,indoor,Inglewood,,,,
Basketball,Intuit Dome,Inglewood,BKB03,"Wednesday, July 12, 2028",-2.0,Preliminary,Women's Group Phase,21:30,23:15,2028-07-12,False,indoor,Inglewood,,,,
Rugby Sevens,Carson Stadium,Carson,RU701,"Wednesday, July 12, 2028",-2.0,Preliminary,Women's Pool Play (6 Matches),10:00,13:00,2028-07-12,False,outdoor,Carson,,,,
Rugby Sevens,Carson Stadium,Carson,RU702,"Wednesday, July 12, 2028",-2.0,Preliminary,Women's Pool Play (6 Matches),16:00,19:00,2028-07-12,False,outdoor,Carson,,,,
Basketball,Intuit Dome,Inglewood,BKB04,"Thursday, July 13, 2028",-1.0,Preliminary,Men's Group Phase (2 Games),12:00,16:15,2028-07-13,False,indoor,Inglewood,,,,
Basketball,Intuit Dome,Inglewood,BKB05,"Thursday, July 13, 2028",-1.0,Preliminary,Women's Group Phase,18:00,19:45,2028-07-13,False,indoor,Inglewood,,,,
Basketball,Intuit Dome,Inglewood,BKB06,"Thursday, July 13, 2028",-1.0,Preliminary,Women's Group Phase,21:30,23:15,2028-07-13,False,indoor,Inglewood,,,,
Rugby Sevens,Carson Stadium,Carson,RU703,"Thursday, July 13, 2028",-1.0,Preliminary,Women's Pool Play (6 Matches),10:00,13:00,2028-07-13,False,outdoor,Carson,,,,
Rugby Sevens,Carson Stadium,Carson,RU704,"Thursday, July 13, 2028",-1.0,Quarterfinal,Women's Classification 9-12 (2 Matches) | Women's Quarterfinal (4 Matches),16:00,19:00,2028-07-13,False,outdoor,Carson,,,,
Football (Soccer),San Diego Stadium,San Diego,FBL27,"Friday, July 14, 2028",0.0,Preliminary,Women's Group Stage,TBD,TBD,2028-07-14,False,outdoor,San Diego,,,,
Football (Soccer),San Diego Stadium,San Diego,FBL28,"Friday, July 14, 2028",0.0,Preliminary,Women's Group Stage,TBD,TBD,2028-07-14,False,outdoor,San Diego,,,,
Basketball,Intuit Dome,Inglewood,BKB07,"Saturday, July 15, 2028",1.0,Preliminary,Men's Group Phase (2 Games),12:00,16:15,2028-07-15,False,indoor,Inglewood,,,,
Basketball,Intuit Dome,Inglewood,BKB08,"Saturday, July 15, 2028",1.0,Preliminary,Men's Group Phase,18:00,19:45,2028-07-15,False,indoor,Inglewood,,,,
Basketball,Intuit Dome,Inglewood,BKB09,"Saturday, July 15, 2028",1.0,Preliminary,Men's Group Phase,21:30,23:15,2028-07-15,False,indoor,Inglewood,,,,
Rugby Sevens,Carson Stadium,Carson,RU705,"Saturday, July 15, 2028",1.0,Semifinal,Women's Classification 5-8 | Women's Placing 11-12 | Women's Placing 9-10 | Women's Semifinal (2 Matches),13:00,16:00,2028-07-15,False,outdoor,Carson,,,,
Rugby Sevens,Carson Stadium,Carson,RU706,"Saturday, July 15, 2028",1.0,Final,Women's Placing 7-8 | Women's Placing 5-6 | Women's Bronze Medal Match | Women's Gold Medal Match,19:00,21:30,2028-07-15,True,outdoor,Carson,,,,
Basketball,Intuit Dome,Inglewood,BKB10,"Sunday, July 16, 2028",2.0,Preliminary,Women's Group Phase (2 Games),12:00,16:15,2028-07-16,False,indoor,Inglewood,,,,
Basketball,Intuit Dome,Inglewood,BKB11,"Sunday, July 16, 2028",2.0,Preliminary,Women's Group Phase,18:00,19:45,2028-07-16,False,indoor,Inglewood,,,,
Basketball,Intuit Dome,Inglewood,BKB12,"Sunday, July 16, 2028",2.0,Preliminary,Women's Group Phase,21:30,23:15,2028-07-16,False,indoor,Inglewood,,,,
