Sport,Venue,Zone,Session Code,Date,Games Day,Session Type,Session Description,Start Time,End Time,Date_parsed,is_medal_event,Indoor_Outdoor,Neighborhood,my_interest,price_tier_est,parking_notes,conflict
Artistic Gymnastics,DTLA Arena,DTLA,GAR01,"Saturday, July 15, 2028",1.0,Preliminary,Men's Qualification 1,11:30,14:00,2028-07-15,False,indoor,Downtown LA,,,,
Artistic Gymnastics,DTLA Arena,DTLA,GAR02,"Saturday, July 15, 2028",1.0,Preliminary,Men's Qualification 2,15:30,18:00,2028-07-15,False,indoor,Downtown LA,,,,
Artistic Gymnastics,DTLA Arena,DTLA,GAR03,"Saturday, July 15, 2028",1.0,Preliminary,Men's Qualification 3,19:30,22:00,2028-07-15,False,indoor,Downtown LA,,,,
Artistic Gymnastics,DTLA Arena,DTLA,GAR04,"Sunday, July 16, 2028",2.0,Preliminary,Women's Qualification 1 and 2,9:45,13:35,2028-07-16,False,indoor,Downtown LA,,,,
Artistic Gymnastics,DTLA Arena,DTLA,GAR05,"Sunday, July 16, 2028",2.0,Preliminary,Women's Qualification 3,15:05,16:45,2028-07-16,False,indoor,Downtown LA,,,,
Artistic Gymnastics,DTLA Arena,DTLA,GAR06,"Sunday, July 16, 2028",2.0,Preliminary,Women's Qualification 4,18:15,19:55,2028-07-16,False,indoor,Downtown LA,,,,
Artistic Gymnastics,DTLA Arena,DTLA,GAR07,"Sunday, July 16, 2028",2.0,Preliminary,Women's Qualification 5,21:25,23:05,2028-07-16,False,indoor,Downtown LA,,,,
Artistic Gymnastics,DTLA Arena,DTLA,GAR08,"Monday, July 17, 2028",3.0,Final,Men's Team Final,17:15,20:30,2028-07-17,True,indoor,Downtown LA,,,,
Artistic Gymnastics,DTLA Arena,DTLA,GAR09,"Tuesday, July 18, 2028",4.0,Final,Women's Team Final,18:00,20:30,2028-07-18,True,indoor,Downtown LA,,,,
Artistic Gymnastics,DTLA Arena,DTLA,GAR10,"Wednesday, July 19, 2028",5.0,Final,Men's All-Around Final,18:00,20:30,2028-07-19,True,indoor,Downtown LA,,,,
Artistic Gymnastics,DTLA Arena,DTLA,GAR11,"Thursday, July 20, 2028",6.0,Final,Women's All-Around Final,18:00,20:30,2028-07-20,True,indoor,Downtown LA,,,,
