Sport,Venue,Zone,Session Code,Date,Games Day,Session Type,Session Description,Start Time,End Time,Date_parsed,is_medal_event,Indoor_Outdoor,Neighborhood,my_interest,price_tier_est,parking_notes,conflict
3x3 Basketball,Valley Complex 3,Valley,BK301,"Sunday, July 16, 2028",2.0,Preliminary,Men's Pool Round (2 Games) | Women's Pool Round (2 Games),14:00,16:00,2028-07-16,False,outdoor,Van Nuys,,,,
3x3 Basketball,Valley Complex 3,Valley,BK302,"Sunday, July 16, 2028",2.0,Preliminary,Men's Pool Round (2 Games) | Women's Pool Round (2 Games),17:30,19:30,2028-07-16,False,outdoor,Van Nuys,,,,
3x3 Basketball,Valley Complex 3,Valley,BK303,"Sunday, July 16, 2028",2.0,Preliminary,Men's Pool Round (2 Games) | Women's Pool Round (2 Games),21:00,23:00,2028-07-16,False,outdoor,Van Nuys,,,,
3x3 Basketball,Valley Complex 3,Valley,BK304,"Monday, July 17, 2028",3.0,Preliminary,Men's Pool Round (2 Games) | Women's Pool Round (2 Games),14:00,16:00,2028-07-17,False,outdoor,Van Nuys,,,,
3x3 Basketball,Valley Complex 3,Valley,BK305,"Monday, July 17, 2028",3.0,Preliminary,Men's Pool Round (2 Games) | Women's Pool Round (2 Games),17:30,19:30,2028-07-17,False,outdoor,Van Nuys,,,,
3x3 Basketball,Valley Complex 3,Valley,BK306,"Monday, July 17, 2028",3.0,Preliminary,Men's Pool Round (2 Games) | Women's Pool Round (2 Games),21:00,23:00,2028-07-17,False,outdoor,Van Nuys,,,,
3x3 Basketball,Valley Complex 3,Valley,BK307,"Tuesday, July 18, 2028",4.0,Preliminary,Men's Pool Round (2 Games) | Women's Pool Round (2 Games),14:00,16:00,2028-07-18,False,outdoor,Van Nuys,,,,
3x3 Basketball,Valley Complex 3,Valley,BK308,"Tuesday, July 18, 2028",4.0,Preliminary,Men's Pool Round (2 Games) | Women's Pool Round (2 Games),17:30,19:30,2028-07-18,False,outdoor,Van Nuys,,,,
3x3 Basketball,Valley Complex 3,Valley,BK309,"Tuesday, July 18, 2028",4.0,Preliminary,Men's Pool Round (2 Games) | Women's Pool Round (2 Games),21:00,23:00,2028-07-18,False,outdoor,Van Nuys,,,,
3x3 Basketball,Valley Complex 3,Valley,BK310,"Wednesday, July 19, 2028",5.0,Preliminary,Men's Pool Round (2 Games) | Women's Pool Round (2 Games),14:00,16:00,2028-07-19,False,outdoor,Van Nuys,,,,
