Session Code,Category A,Category B,Category C,Category D,Category E,Category F,Category G,Category H,Category I,Category J,
ARC01,-,-,-,-,-,-,-,-,-,-,
ARC02,-,-,-,-,-,-,-,-,-,-,
ARC03,$514.72,$279.07,$136.43,$28.00,-,-,-,-,-,-,
ARC04,$514.72,$279.07,$136.43,$28.00,-,-,-,-,-,-,
ARC05,$514.72,$279.07,$136.43,$28.00,-,-,-,-,-,-,
ARC06,$514.72,$279.07,$136.43,$28.00,-,-,-,-,-,-,
ARC07,$514.72,$279.07,$136.43,$28.00,-,-,-,-,-,-,
ARC08,$514.72,$279.07,$136.43,$28.00,-,-,-,-,-,-,
ARC09,$862.01,$477.52,$241.86,$104.19,-,-,-,-,-,-,
ARC10,$514.72,$279.07,$136.43,$28.00,-,-,-,-,-,-,
ARC11,$862.01,$477.52,$241.86,$104.19,-,-,-,-,-,-,
ARC12,$514.72,$279.07,$136.43,$28.00,-,-,-,-,-,-,
ARC13,$862.01,$477.52,$241.86,$104.19,-,-,-,-,-,-,
ARC14,$514.72,$279.07,$136.43,$28.00,-,-,-,-,-,-,
ARC15,$862.01,$477.52,$241.86,$104.19,-,-,-,-,-,-,
ARC16,$514.72,$279.07,$136.43,$28.00,-,-,-,-,-,-,
ARC17,$862.01,$477.52,$241.86,$104.19,-,-,-,-,-,-,
ATH01,"$1,035.65",$682.17,$485.91,$372.09,$248.06,$210.85,$136.43,$62.02,$43.41,-,
ATH02,"$2,460.76","$2,046.50","$1,364.33","$1,116.27",$744.18,$620.15,$403.10,$186.05,$104.19,-,
ATH03,"$1,035.65",$682.17,$485.91,$372.09,$248.06,$210.85,$136.43,$62.02,$43.41,-,
ATH04,"$2,460.76","$2,046.50","$1,364.33","$1,116.27",$744.18,$620.15,$403.10,$186.05,$104.19,-,
ATH05,"$1,141.08",$750.38,$502.32,$409.30,$272.87,$229.46,$148.84,$68.22,$43.41,-,
ATH06,"$2,460.76","$2,046.50","$1,364.33","$1,116.27",$744.18,$620.15,$403.10,$186.05,$104.19,-,
ATH07,"$1,035.65",$682.17,$459.81,$372.09,$248.06,$210.85,$136.43,$62.02,$28.00,-,
ATH08,"$2,460.76","$2,046.50","$1,364.33","$1,116.27",$744.18,$620.15,$403.10,$186.05,$104.19,-,
ATH09,"$1,141.08",$750.38,$502.32,$409.30,$272.87,$229.46,$148.84,$68.22,$43.41,-,
ATH10,"$2,460.76","$2,046.50","$1,364.33","$1,116.27",$744.18,$620.15,$403.10,$186.05,$104.19,-,
ATH11,"$1,141.08",$750.38,$502.32,$409.30,$272.87,$229.46,$148.84,$68.22,$43.41,-,
ATH12,"$2,460.76","$2,046.50","$1,364.33","$1,116.27",$744.18,$620.15,$403.10,$403.10,$104.19,-,
ATH13,"$1,141.08",$750.38,$502.32,$409.30,$272.87,$229.46,$148.84,$68.22,$43.41,-,
ATH14,"$2,460.76","$2,046.50","$1,364.33","$1,116.27",$744.18,$620.15,$403.10,$186.05,$104.19,-,
ATH15,"$2,460.76","$2,046.50","$1,364.33","$1,116.27",$744.18,$620.15,$403.10,$186.05,$104.19,-,
